update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
914,0.1494140625,0.1494140625,MoE-sBOED,0.05148792266845703,58496,3.95890212059021,1.3856956958770752,0.01296402607113123,0.2558749318122864,0.11218414455652237,,,,,,,,,,,
915,0.14906249940395355,0.14906249940395355,MoE-sBOED,0.05173373222351074,58560,3.9597835540771484,1.3857040405273438,0.012381737120449543,0.25619712471961975,0.11212291568517685,,,,,,,,,,,
916,0.1466015726327896,0.1466015726327896,MoE-sBOED,0.052060842514038086,58624,3.960508346557617,1.385643720626831,0.013498591259121895,0.25787442922592163,0.11205557733774185,,,,,,,,,,,
917,0.15996094048023224,0.15996094048023224,MoE-sBOED,0.05329012870788574,58688,3.9613118171691895,1.3855552673339844,0.01461169496178627,0.25955629348754883,0.11198341846466064,,,,,,,,,,,
918,0.1567968726158142,0.1567968726158142,MoE-sBOED,0.051336050033569336,58752,3.9617927074432373,1.3855657577514648,0.01420400571078062,0.2597871422767639,0.1119411438703537,,,,,,,,,,,
919,0.15714845061302185,0.15714845061302185,MoE-sBOED,0.051917314529418945,58816,3.962282180786133,1.3856757879257202,0.012585083954036236,0.2587909698486328,0.11189666390419006,,,,,,,,,,,
920,0.1508203148841858,0.1508203148841858,MoE-sBOED,0.05228090286254883,58880,3.962737560272217,1.3857864141464233,0.0112783657386899,0.25773051381111145,0.1118319109082222,,,,,,,,,,,
921,0.15328125655651093,0.15328125655651093,MoE-sBOED,0.05350852012634277,58944,3.963343381881714,1.3858226537704468,0.010573606006801128,0.2576642632484436,0.11175750941038132,,,,,,,,,,,
922,0.1515234410762787,0.1515234410762787,MoE-sBOED,0.05299830436706543,59008,3.963794708251953,1.385799765586853,0.01030369196087122,0.25801002979278564,0.11168782413005829,,,,,,,,,,,
923,0.14906249940395355,0.14906249940395355,MoE-sBOED,0.052657127380371094,59072,3.964139938354492,1.3858264684677124,0.009834003634750843,0.2575593590736389,0.11164021492004395,,,,,,,,,,,
924,0.15117189288139343,0.15117189288139343,MoE-sBOED,0.05193376541137695,59136,3.9642276763916016,1.3858954906463623,0.009335033595561981,0.2561703324317932,0.11163441091775894,,,,,,,,,,,
925,0.14484375715255737,0.14484375715255737,MoE-sBOED,0.05160808563232422,59200,3.965261936187744,1.3859442472457886,0.008794390596449375,0.2560741901397705,0.11163770407438278,0.14220703125,0.047519531250000004,1,-0.0,0.0078125,0.0234375,1,0.0005273437499999999,100.04751953125,0,required
